Name,Category,Subcategory,Platforms,Function,Radio Interaction,License,Notes
WinLog32,Logging (rig control),Logging (rig control),Windows,Freeware DX logger for HF/VHF with DXCC/IOTA/WAZ tracking,CAT rig control,Free,By G0CUZ.
Xlog,Logging (rig control),Logging (rig control),Linux,Daily and contest logging program,Hamlib CAT to read frequency/mode/S-meter over serial/USB,Free / Open-source,GTK logger for GNU/Linux.
YPLog,Logging (rig control),Logging (rig control),Windows,Rig-control-centric logging program for Yaesu/Ten-Tec/Elecraft,CAT rig control panel with logging,Shareware,By G4HFQ.
AirLink Express,Multimode digital (PSK/RTTY/etc.),Multimode digital,Windows,"User-friendly PSK, MFSK and RTTY package with logging and macros",Sound-card audio in/out; CAT rig control and PTT via COM port,Free,Modern-looking free multimode terminal
Bonito RadioCom,Multimode digital (PSK/RTTY/etc.),Multimode digital,Windows,"DSP multimode decode/encode: RTTY, PSK, FAX, SSTV, weather and analog modes",Sound-card audio in/out; CAT rig control and PTT,Commercial,RadioCom 5/6 from Bonito
cocoaModem / cocoaModem 2.0,Multimode digital (PSK/RTTY/etc.),Multimode digital (Mac),macOS,"Multimode modem: RTTY, PSK, MFSK, Feld Hell, CW, SITOR/AMTOR, DominoEX, WEFAX",Sound-card audio in/out; CAT rig control and PTT via serial/USB,Free,By Kok Chen W7AY; the standard native Mac multimode app
Code332,Multimode digital (PSK/RTTY/etc.),Multimode decoder (legacy),Windows,"Multitasking data analyzer, demodulator and decoder for many modes",Sound-card / IF audio in (receive decode),Commercial (legacy),Part of the professional-decoder lineage related to Sorcerer
Contact-Multi,Multimode digital (PSK/RTTY/etc.),Multimode digital,Windows,"Multimode PSK, RTTY, FSK, MFSK terminal with logging",Sound-card audio in/out; PTT via COM port,Free,Lesser-known freeware multimode terminal
DarwinPSK,Multimode digital (PSK/RTTY/etc.),"PSK31 (Mac, legacy)","macOS (OS X, legacy)",Early native Mac PSK31 terminal,Sound-card audio in/out; PTT via serial port,Free (legacy),By W7AY; predecessor to cocoaModem
DigiDecoder,Multimode digital (PSK/RTTY/etc.),Multimode digital (iOS),iOS / iPadOS,"Auto-identify, decode and encode SSTV, Packet, RTTY, CW, FT8, FT4, JS8 and Olivia with waterfall",Device microphone audio in; encode via speaker audio out,Commercial (App Store),Recent multimode phone app
DigiPan,Multimode digital (PSK/RTTY/etc.),PSK31/63 panoramic,Windows,Panoramic PSK31/PSK63 program showing the whole waterfall as a clickable dial,Sound-card audio in/out; PTT via COM port or VOX,Free,By Skip Teller KH6TY and Nick Fedoseev UT2UZ; pioneered the click-to-tune waterfall
EasyDRF,Multimode digital (PSK/RTTY/etc.),HamDRM file transfer,Windows,'Easy Digital Radio Files' – HamDRM application for sending files/images over HF radio.,Sound-card audio in/out; serial-port PTT keying.,Open-source,By DazDSP; part of the WinDRM/HamDRM family alongside EasyPal.
Flamp,Multimode digital (PSK/RTTY/etc.),NBEMS file transfer,Windows / macOS / Linux / Raspberry Pi,"Amateur Multicast Protocol: blocked, FEC-protected file broadcast/relay with fill requests",Transmits/receives through the fldigi modem (sound-card audio + PTT via fldigi),Open-source (GPL),By W1HKJ; used to push files/forms to many stations at once
Fldigi,Multimode digital (PSK/RTTY/etc.),Fldigi/NBEMS suite (multimode),Windows / macOS / Linux / Raspberry Pi,"Flagship free multimode soundcard modem: PSK31/63/125, RTTY, MFSK, Olivia, Contestia, DominoEX, Feld Hell, MT63, THROB, CW, FSQ, IFKP, Navtex, WEFAX, plus built-in logging and macros","Sound-card audio in/out for all modes; CAT via built-in Hamlib or via flrig (XML-RPC); PTT via CAT, RTS/DTR, or rigCAT",Open-source (GPL),By W1HKJ (Dave Freese) et al.; core of NBEMS; runs well headless on Raspberry Pi; de-facto standard for keyboard digital modes and EmComm
Flmsg,Multimode digital (PSK/RTTY/etc.),NBEMS forms/messaging,Windows / macOS / Linux / Raspberry Pi,ARRL Radiogram / ICS / plaintext / custom form manager and formatter for message handling,No direct radio link; hands formatted messages to fldigi which transmits/receives them over the air,Open-source (GPL),Part of NBEMS; pairs with fldigi + flamp for EmComm traffic
Flwrap,Multimode digital (PSK/RTTY/etc.),NBEMS file utility,Windows / macOS / Linux / Raspberry Pi,File encapsulation with checksum for error-free transfer of text/binary over radio,Prepares files that fldigi transmits/receives (indirect; via fldigi audio + PTT),Open-source (GPL),"Older companion, largely superseded by flamp for bulk transfer"
FSQCall,Multimode digital (PSK/RTTY/etc.),FSQ selective-call mode,Windows / Linux,"FSQ (Fast Simple QSO) HF-NVIS selective-calling, chat and message/file exchange",Sound-card audio in/out; PTT via COM port,Free,By Con Wassilieff ZL2AFP and Murray Greenman ZL1BPU; FSQ also built into fldigi
IZ8BLY Hellschreiber,Multimode digital (PSK/RTTY/etc.),Feld Hell (legacy),Windows,Feld Hell and Hellschreiber variants encode/decode,Sound-card audio in/out; PTT via COM port,Free (legacy),By IZ8BLY; classic Hell program
IZ8BLY MT63,Multimode digital (PSK/RTTY/etc.),MT63 (legacy),Windows,MT63 mode terminal,Sound-card audio in/out; PTT via COM port,Free (legacy),By IZ8BLY; original popular MT63 implementation
LinPSK,Multimode digital (PSK/RTTY/etc.),Multimode digital (Linux),Linux,Qt PSK31/PSK63 and RTTY multimode terminal,Sound-card audio in/out; PTT via Hamlib/serial,Open-source (GPL),Native Linux PSK/RTTY program
multimon-ng,Multimode digital (PSK/RTTY/etc.),SDR / multimode decoder,Linux / Windows / macOS,"Decodes POCSAG, FLEX, AFSK/APRS (AX.25), DTMF, ZVEI, X10 and more from audio or SDR",audio pipe from SDR/receiver (e.g. rtl_fm),Open-source,Fork of multimon; standard building block in SDR decode pipelines; not listed despite rtl_433/dump1090 being present
MultiPSK,Multimode digital (PSK/RTTY/etc.),Multimode digital,Windows,"Very broad multimode: BPSK/QPSK, PSK63/125, RTTY, MFSK, Feld Hell, THROB, Olivia, Contestia, MT63, ALE, SSTV, HF-FAX, plus utility/marine RX modes (Navtex, ACARS, DGPS, Pactor RX)",Sound-card audio in/out; CAT rig control and PTT via COM port,Free / donationware (paid key unlocks 'professional' modes),By Patrick Lindecker F6CTE; one of the widest mode collections available
N7YG Digital Engine,Multimode digital (PSK/RTTY/etc.),Multimode digital,Windows,"PSK, RTTY and MFSK modem that integrates with N3FJP logging software",Sound-card audio in/out; PTT via COM port,Free,By N7YG; digital front-end for N3FJP loggers
PSK31SBW,Multimode digital (PSK/RTTY/etc.),PSK31 (legacy),Windows,Original 'PSK31 for SoundBlaster/Windows' terminal,Sound-card audio in/out; PTT via COM port,Free (legacy),By AE4JY; one of the first Windows PSK31 programs
RadioRaft,Multimode digital (PSK/RTTY/etc.),Multimode decoder,DOS / Windows,"Automatic recognition and decode of many data modes (Baudot, ARQ/FEC, Packet, CW, utility modes)",Audio/comparator interface from the receiver (receive-only decode),Commercial / shareware,By François Guillet F6FLT; classic auto-classifying decoder
SIM PSK31 (Sim31 / Sim63),Multimode digital (PSK/RTTY/etc.),PSK31/63 (legacy),Windows,Lightweight PSK31/PSK63 terminal,Sound-card audio in/out; PTT via COM port,Free (legacy),"Small, simple PSK program from the early PSK era"
Sorcerer,Multimode digital (PSK/RTTY/etc.),Multimode decoder,Windows,"SDR-style multimode signal decoder (PSK, RTTY and many HF utility/data modes) with add-a-decoder interface",Sound-card / IF audio in for decoding (receive-only; no transmit),Commercial (now effectively abandonware / free),Descended from professional Code300/332-family decoders; popular for utility monitoring
twpsk / tkpsk,Multimode digital (PSK/RTTY/etc.),PSK31 (Linux),Linux,PSK31 terminal (Tcl/Tk front end to a soundcard modem),Sound-card audio in/out; PTT via serial,Open-source,Part of the older Linux ham digital toolset
WinDRM,Multimode digital (PSK/RTTY/etc.),HamDRM digital voice + data,Windows,"Amateur DRM (HamDRM) program sending digital voice, text and images over HF using COFDM/QAM.",Sound-card audio in/out; serial-port PTT keying.,Free (freeware),By Cesco HB9TLK / Mel Whitten K0PFX group; a precursor to FreeDV's DV approach and to EasyPal-style DRM data.
WinPSK,Multimode digital (PSK/RTTY/etc.),PSK31,Windows,PSK31 keyboard terminal,Sound-card audio in/out; PTT via COM port,Free / open-source,By Moe Wheatley AE4JY
WinPSKse,Multimode digital (PSK/RTTY/etc.),PSK31,Windows,Enhanced WinPSK capable of receiving two PSK31 signals simultaneously,Sound-card audio in/out; PTT via COM port,Free,By AE4JY; 'special edition' evolution of WinPSK
"Black Cat Systems iOS decoders (PSK31, Morse Pad, RTTY, SSTV)",Other / Utility,Single-mode decoders (iOS),iOS / iPadOS,"Individual PSK31, Morse (CW), RTTY and SSTV decoders with waterfall",Device microphone audio in from the radio (receive decode),Commercial (App Store),By Black Cat Systems; set device near the radio speaker
FDMDV,Other / Utility,HF digital voice,Windows,Narrow (1.1 kHz) HF digital voice using close-spaced OFDM carriers; works at weaker signal levels than WinDRM,Sound-card audio in/out through an SSB transceiver; PTT via serial/VOX,Free / Open-source,HB9TLK's low-bandwidth DV mode; direct ancestor of the FreeDV 1600 waveform.
IZ8BLY Stream,Other / Utility,MFSK (legacy),Windows,MFSK16 / MFSK8 (plus experimental FEC/PSK/MSK modes),Sound-card audio in/out; PTT via COM port,Free (legacy),By Nino Porcino IZ8BLY (with ZL1BPU); helped popularize MFSK
Mobilinkd Config app,Other / Utility,TNC configuration app,Android / iOS,Configure Mobilinkd Bluetooth-LE KISS TNC parameters,"BLE link to the hardware TNC, setting audio levels and PTT behaviour that key the radio",Free,Companion to APRSdroid / aprs.fi and any KISS app.
NinoTNC (N9600A) host utilities,Other / Utility,Hardware TNC + host tooling,Windows / Linux,"IL2P/AX.25 hardware KISS TNC used with KISSet, BPQ32 or Dire Wolf; firmware/config tools",KISS over USB serial; PTT via the TNC to the radio,Hardware + free tools,TARPN-network TNC; multiple baud rates and FEC modes.
"OTWincfg (OpenTracker config, Argent Data)",Other / Utility,Tracker configuration software,Windows,Configure Argent Data OpenTracker / Tracker2 APRS TNC-trackers,Serial link to the hardware tracker that generates the packet audio and keys PTT,Free,"Sets APRS paths, profiles and I/O for the OpenTracker family."
PacFORMS,Other / Utility,EmComm forms add-on,Windows (with Outpost),"HTML representation of standardized ICS/served-agency forms; Submit builds a compact text message, recreated on receipt",Via Outpost to the packet TNC/radio (no direct radio access itself),Free,Companion to Outpost; forerunner of Winlink-style form workflows.
TinyTrak Config (Byonics),Other / Utility,Tracker configuration software,Windows,"Configure Byonics TinyTrak APRS trackers (paths, beacon timing, smart beaconing)",Serial link to the hardware tracker that generates AFSK and keys the radio PTT,Free,Programs the tracker's on-air behaviour; MT-AIO/all-in-one variants.
"TNC-Pi / TNC-X utilities (pitnc_getparams, xtinit)",Other / Utility,TNC configuration utilities,Linux / Raspberry Pi / Windows,"Read/set KISS parameters (TXDelay, persistence, audio) on TNC-Pi and TNC-X hardware",Configures the hardware KISS TNC that keys the radio (audio + PTT),Free / open-source,Used when building BPQ32/Dire Wolf packet nodes on a Pi.
Alinco Programmer / Clone Utility,Programming / Codeplug,Programming/Codeplug,Windows,"Alinco factory clone/programming utilities and per-radio programmers (incl. APK-MD5 for the DMR DJ-MD5) to set memories, CTCSS/DCS and menu options.",USB/serial clone read/write via ERW-4C/ERW-7/ERW-8 cables.,Free (Alinco download); some paid,DJ-MD5/DR-MD500 DMR models also programmed via RT Systems and (analog) CHIRP.
Anytone CPS,Programming / Codeplug,Programming/Codeplug,Windows,"AnyTone customer programming software for DMR handhelds/mobiles (AT-D868UV, AT-D878UV/UVII/Plus, AT-D578UV III), editing channels, zones, talkgroups, color codes, contacts and roaming.",USB read/write of the full DMR codeplug and firmware; radio-and-firmware-revision-specific.,Free (BridgeCom/AnyTone download),BTECH DMR-6X2/PRO use an AnyTone-derived CPS. Windows-only; also supported by qdmr/dmrconfig/RT Systems.
AnyTone Firmware/QX Upgrade Tool,Programming / Codeplug,Programming/Codeplug,Windows,AnyTone firmware-loader utility used to update D868/D878/D578 firmware (paired with the CPS codeplug).,USB firmware flashing to the radio (boot/upgrade mode).,Free,Firmware and CPS versions must match; distributed by AnyTone/BridgeCom.
ARC series (BuTel),Programming / Codeplug,Programming/Codeplug + control (scanner),Windows,"Model-specific programming/control for Uniden, AOR and Alinco scanners (ARC536, ARCPatrol, etc.)",serial/USB programming + control,Commercial,BuTel Software
Baofeng CPS (factory / VIP),Programming / Codeplug,Programming/Codeplug,Windows,"Baofeng factory programming software (VIP and per-model CPS for UV-5R, BF-888S, UV-82, DM-1701 DMR, etc.) to set memories, CTCSS/DCS and menu options.",USB read/write of channels/settings via CH340/FTDI programming cable.,Free,CHIRP is the more popular tool for Baofeng analog; DMR models (DM-1701/RD-5R) also use dmrconfig/qdmr/OpenGD77.
Baofeng Ola,Programming / Codeplug,"Programming/Codeplug (mobile, Bluetooth)",Android / iOS,Official Baofeng Bluetooth programming app for BT-capable models,Bluetooth codeplug programming,Free,
CHIRP (CHIRP-next),Programming / Codeplug,Programming/Codeplug,Windows / macOS / Linux,"Free universal memory-channel programming/editor for hundreds of amateur (and some commercial) radios; spreadsheet-style channel editing, import from RepeaterBook/CSV, cross-radio copy/paste.",USB/serial clone: reads and writes memory channels and many settings to the radio over a programming cable (CH340/FTDI/Prolific); some radios support live per-channel read/write.,Free / Open-source (GPL),"CHIRP-next (daily/py3 build) is the current version; supports Baofeng, Wouxun, TYT, Retevis, Yaesu, Icom, Kenwood, Alinco, Anytone (analog), Quansheng UV-K5 EEPROM, and many more. The de-facto standard free programmer."
Connect Systems CPS (CS700/CS800/CS580),Programming / Codeplug,Programming/Codeplug,Windows,Connect Systems customer programming software for their CS700/CS701/CS750/CS800/CS800D DMR and CS580 analog radios.,"USB read/write of DMR/analog codeplug (channels, contacts, zones).",Free,Codeplugs (RDT) also editable in N0GSG Contact Manager.
contactsync,Programming / Codeplug,Programming/Codeplug,Windows / Linux / macOS (script),Helper that pulls the RadioID.net/DMR-MARC user database and formats DMR contact CSVs for import into various radios' CPS.,Indirect: builds the contact list that is then written to the radio via the vendor CPS/codeplug tool.,Free / Open-source,Included per task hint; strictly a data-prep helper that feeds codeplug/CPS imports rather than touching the radio itself.
