Name,Category,Rig Control Backend,How to Set CAT,Audio Device Select,PTT Config,ALC/Power Guidance,Companion Needed,Notes,Verified,Source,Source URL,Source Note
Allmon3,Digital voice / Hotspot,"None - manages app_rpt/Asterisk nodes over the AMI, not radio CAT","n/a - set node numbers and AMI host/user/password in /etc/allmon3/allmon3.ini (matching /etc/asterisk/manager.conf). Commands links/DTMF, not a radio's CAT.","n/a - radio audio is handled by the AllStarLink USB fob on the node, not by Allmon3.",n/a - keying is done by app_rpt (COS/PTT via the URI/fob); Allmon3 only issues connect/disconnect/DTMF.,n/a.,An AllStarLink/Asterisk (app_rpt) node.,Python web dashboard/control panel for AllStar nodes.,confirmed,AllStarLink Manual - Allmon3 configuration,https://allstarlink.github.io/allmon3/config/,"Verified against the AllStarLink Manual. Allmon3 is a web monitor/manager for app_rpt/Asterisk over the Asterisk Manager Interface (AMI); not CAT. Configured in /etc/allmon3 (allmon3.ini for AMI host/user/pass, users, web.ini); AMI credentials also live in /etc/asterisk/manager.conf. It issues connect/disconnect/DTMF, not radio CAT."
AllStarLink (app_rpt / Asterisk),Digital voice / Hotspot,"None - analog repeater/radio interface via a USB CM108 fob, not transceiver CAT",n/a - configured in /etc/asterisk (rpt.conf plus simpleusb.conf/usbradio.conf); select the CM108 USB fob and set COS/CTCSS/PTT parameters.,In simpleusb/usbradio config choose the USB CM108 sound fob (or URI/DINAH/RIM) for RX/TX audio; run simpleusb-tune-menu to set levels.,PTT keyed via the CM108 GPIO line (or serial); COS/CTCSS detect handles receive.,"n/a - analog FM; audio levels set with the tune menu, not ALC.",A CM108 URI/DINAH/RIM interface plus a radio/repeater.,Asterisk app_rpt-based linking of radios over IP.,confirmed,AllStarLink Manual - simpleusb.conf,https://allstarlink.github.io/config/simpleusb_conf/,"Verified against the AllStarLink Manual. Analog radio interface via a CM108 USB fob (or URI/DINAH/RIM), not transceiver CAT. Configured in /etc/asterisk (rpt.conf + simpleusb.conf/usbradio.conf); simpleusb-tune-menu (or radio-tune-menu) sets RX/TX levels; PTT via the fob's GPIO line, COS/CTCSS detect on receive."
ambed,Digital voice / Hotspot,"None - network AMBE transcoder daemon, no radio CAT","n/a - config lists the AMBE3000 hardware devices (ThumbDV/DVstick) and listen ports; used by reflectors (XLX, etc.).","n/a - transcodes DV codec streams, not sound-card audio.",n/a.,n/a.,AMBE3000 hardware (a ThumbDV/DVstick farm); a reflector such as XLX.,Transcodes DV audio between DMR/D-STAR/YSF/NXDN codecs.,confirmed,ambed / xlxd documentation,,"Verified as a networked AMBE transcoder daemon (used by XLX and similar reflectors). Config lists the AMBE3000 hardware devices (ThumbDV/DVstick) and listen ports; it transcodes DV codec streams, not sound-card audio - no radio CAT/PTT."
AMBEServer,Digital voice / Hotspot,None - exposes a hardware AMBE vocoder over the network,n/a - configure the AMBE dongle's serial device and the TCP listen port; clients connect over the network.,"n/a - serves the AMBE vocoder, not audio.",n/a.,n/a.,A ThumbDV/DVstick AMBE3000 dongle; a client such as BlueDV.,Network server exposing one hardware AMBE3000 vocoder.,confirmed,AMBEServer documentation (NW Digital Radio / DV3000),,Verified. Exposes a hardware AMBE (DV3000/ThumbDV) vocoder over TCP; configure the AMBE dongle's serial device and the TCP listen port; clients connect over the network. No radio CAT/audio/PTT.
Analog_Bridge,Digital voice / Hotspot,"None - DVSwitch audio/codec gateway, no radio CAT","n/a - Analog_Bridge.ini config; bridges USRP UDP audio to/from AllStarLink into AMBE/DV networks, with AMBE via md380-emu (software) or a hardware dongle.","Uses the USRP UDP audio link to/from AllStarLink (txPort/rxPort in [USRP]), not a local sound card.",n/a - bridging only; keying is handled by the AllStar/MMDVM sides.,n/a.,"The DVSwitch suite (MMDVM_Bridge, AllStarLink) plus AMBE (md380-emu or a dongle).",Transcodes analog <-> DV in the DVSwitch chain.,confirmed,DVSwitch Analog_Bridge (GitHub),https://github.com/DVSwitch/Analog_Bridge,"Verified against DVSwitch. Analog_Bridge.ini bridges an analog device (USRP UDP audio from AllStarLink's chan_usrp) to AMBE/DV; AMBE via md380-emu (software, default 127.0.0.1:2470) or a hardware dongle. No local sound card, no radio CAT."
APRSGateway,Digital voice / Hotspot,None - passes APRS/GPS frames between DV networks and APRS-IS,n/a - config file sets the APRS-IS connection; it forwards GPS/APRS frames embedded in DV traffic.,n/a.,n/a.,n/a.,MMDVMHost / DV networks; APRS-IS.,Routes APRS/GPS data carried in DV traffic to APRS-IS.,confirmed,"APRSGateway (G4KLX, GitHub)",https://github.com/g4klx/APRSGateway,Verified. G4KLX component that forwards APRS/GPS frames between DV networks and APRS-IS; config sets the APRS-IS connection. No radio CAT/audio/PTT.
ASL3 (AllStarLink v3),Digital voice / Hotspot,None - same CM108/URI fob audio + PTT/COS interface as AllStarLink (not CAT),n/a - v3 uses Debian packages and ASL3 tooling (asl-menu/node config); select the USB CM108/URI device in the simpleusb config.,CM108/URI/DINAH fob selected in the simpleusb config; use the asl3 tune tool for RX/TX levels.,PTT/COS keying via the fob's GPIO line.,n/a - analog FM; levels set via the tune menu.,A CM108 URI/DINAH interface plus a radio.,Modern (Debian 12) AllStarLink release.,confirmed,AllStarLink Manual (ASL3),https://allstarlink.github.io/,Verified against the AllStarLink Manual. ASL3 uses the same CM108/URI fob audio + PTT/COS interface as classic AllStarLink (not CAT); installed via Debian packages with ASL3 tooling (asl-menu/asl3 tools). Select the USB CM108/URI device in the simpleusb config; use the asl3 tune tool for RX/TX levels.
BlueDV AMBE / BlueDV Server,Digital voice / Hotspot,"None - network AMBE vocoder server, no radio CAT",n/a - configure the AMBE3000 dongle's serial port and the network port; exposes the vocoder to BlueDV clients.,"n/a - AMBE codec over the network, not a sound card.",n/a.,n/a.,An AMBE3000 dongle (ThumbDV/DVstick); a BlueDV client.,Serves a hardware AMBE vocoder over the network.,confirmed,BlueDV (PA7LIM),https://www.pa7lim.nl/,Verified (PA7LIM). Network AMBE vocoder server; configure the AMBE3000 dongle's serial port and the network port to expose the vocoder to BlueDV clients. No radio CAT/audio/PTT.
BlueDV for Android,Digital voice / Hotspot,"None - digital voice into internet reflectors (or via a dongle), not transceiver CAT",n/a - Settings: select DMR/D-STAR/Fusion networks and reflectors; choose a Bluetooth/USB AMBE dongle or network-only mode.,Phone audio for the decoded DV voice; hardware vocoding via a BT/USB AMBE dongle when present.,On-screen PTT keys into the DV reflector (no RF radio unless a dongle/hotspot is used).,n/a.,Optional AMBE dongle (network-only works without one); internet DV reflectors.,DMR/D-STAR/YSF client over internet or dongle.,confirmed,BlueDV for Android (PA7LIM),https://www.pa7lim.nl/,"Verified (PA7LIM). Digital-voice into internet reflectors (or via a BT/USB AMBE dongle), not transceiver CAT. Settings select DMR/D-STAR/Fusion networks and reflectors; on-screen PTT keys into the DV reflector."
BlueDV for Windows,Digital voice / Hotspot,"None - serial to a hotspot modem or AMBE dongle, not transceiver CAT","n/a - Menu > Setup: select the serial COM of a DVMega/BlueStack MMDVM modem (RF hotspot) OR an AMBE3000 dongle (ThumbDV/DVStick/ZUM), set AMBE baud 460800; enter DMR/D-STAR/Fusion IDs and reflectors.",PC sound card for decoded DV audio when using an AMBE dongle.,"On-screen PTT; a DVMega/BlueStack modem keys the hotspot RF, a dongle stays network-only.",n/a.,A DVMega/BlueStack MMDVM modem or an AMBE3000 dongle.,Multimode digital-voice client for Windows.,confirmed,BlueDV for Windows (PA7LIM),https://www.pa7lim.nl/bluedv-windows/,"Verified (PA7LIM). Menu > Setup: enter the COM port for a DVMega/BlueStack MMDVM modem (RF hotspot) OR an AMBE3000 dongle (ThumbDV/DVStick/ZUM), set AMBE baud 460800, and enter DMR/D-STAR/Fusion IDs and reflectors. PC sound card carries decoded DV audio with a dongle. Not transceiver CAT."
BrandMeister server (bmaster),Digital voice / Hotspot,"None - DMR network core, no radio CAT",n/a - server-side configuration; routes DMR talkgroups for connected hotspots and repeaters.,n/a.,n/a.,n/a.,MMDVM hotspots/repeaters connecting in.,DMR master server software.,confirmed,BrandMeister Wiki,https://wiki.brandmeister.network/,Verified. DMR network core; server-side configuration routes talkgroups for connected hotspots/repeaters. No radio CAT/audio/PTT.
Buster,Digital voice / Hotspot,"None - macOS D-STAR dongle client, not transceiver CAT",n/a - select D-STAR reflectors/gateways (DPlus/DExtra/DCS) in the app and point it at a ThumbDV/PiDV AMBE device.,Mac audio input/output for voice; hardware AMBE vocoding via a ThumbDV/PiDV.,On-screen/keyboard PTT into the D-STAR network (no RF radio).,n/a.,A ThumbDV/DVstick AMBE dongle; D-STAR reflectors.,macOS D-STAR dongle application.,confirmed,"Buster (Jeremy McDermond NH6Z, GitHub)",https://github.com/mcdermj/buster,Verified. macOS D-STAR reflector client by Jeremy McDermond (NH6Z); supports DPlus/DExtra/DCS reflectors and repeater links. Uses a ThumbDV/PiDV hardware AMBE device (accessed over the network) for vocoding; Mac audio in/out; on-screen PTT into the D-STAR network. No transceiver CAT.
cBridge (c-Bridge),Digital voice / Hotspot,"None - DMR repeater interconnect/router, no radio CAT",n/a - web-admin configuration to interconnect DMR repeaters and route talkgroups.,n/a.,n/a.,n/a.,DMR repeaters/peers.,Commercial DMR c-Bridge routing platform.,confirmed,Rayfield Communications c-Bridge documentation,,"Verified as a DMR repeater interconnect/router (Rayfield Communications); web-admin configuration interconnects DMR repeaters and routes talkgroups. No radio CAT. (Official product page URL not confirmed, so left blank.)"
ClearNode app,Digital voice / Hotspot,None - mobile control app for the ClearNode (AllStarLink-based) device,"n/a - the app manages the ClearNode's links, favorites and DTMF; the node connects to node radios/handhelds.",n/a - audio is handled by the ClearNode hardware.,n/a - keying is done by the node.,n/a.,A ClearNode device.,Companion app for the ClearNode hotspot/node.,confirmed,ClearNode (Node-Ventures) documentation,,"Verified. Mobile control app for the ClearNode (AllStarLink-based hotspot, Node-Ventures). The app manages the node's links, favorites and DTMF; audio and keying are handled by the ClearNode hardware, not the app. No transceiver CAT."
D-RATS,Digital voice / Hotspot,None for voice CAT - a serial link to the D-STAR radio's DV low-speed data port (or a network/ratflector),Preferences > Radio > Add: choose Serial (to the D-STAR radio's data jack) or Network/ratflector; set the port and baud to match the radio.,"n/a - it uses the DV data channel, not sound-card audio.",No separate PTT line - the D-STAR radio transmits when D-RATS sends data over the DV-data stream.,n/a.,A D-STAR radio (with a data port) or a D-RATS ratflector.,Chat/file/forms over the D-STAR DV low-speed data channel.,confirmed,D-RATS documentation (KK7DS / d-rats community),http://wa7dre.org/d-rats/,"Verified. Preferences > Radio > Add: choose Type Serial (to the D-STAR radio's DV low-speed data jack) or Network (a ratflector such as ref.d-rats.com); set serial port and baud (must match the radio). It uses the DV data channel, not sound-card audio; the radio transmits when D-RATS sends data."
DAPNET (MMDVM POCSAG paging),Digital voice / Hotspot,"None - POCSAG paging via an MMDVM transmitter, not transceiver CAT","n/a - the DAPNET core plus a transmitter node; MMDVMHost config points at the DAPNET server, and the MMDVM modem keys the RF to page receivers.","n/a - POCSAG data goes through the MMDVM modem, not a sound card.",PTT asserted by the MMDVM modem/hardware when transmitting POCSAG.,n/a - FM/FSK paging.,MMDVMHost plus an MMDVM modem/transmitter; the DAPNET network.,Amateur POCSAG paging network feeding MMDVMHost.,confirmed,DAPNET (Decentralized Amateur Paging Network) - hampager.de,https://hampager.de/,"Verified. POCSAG paging via an MMDVM transmitter, not transceiver CAT. A DAPNET core plus a transmitter node; MMDVMHost points at the DAPNET server and the MMDVM modem keys the RF to page receivers. No sound card; PTT asserted by the MMDVM hardware."
DGIdGateway,Digital voice / Hotspot,"None - handles the C4FM DV stream by DG-ID, not transceiver CAT",n/a - config file maps System Fusion DG-IDs to YSF/FCS reflectors; runs alongside MMDVMHost.,"n/a - it processes the C4FM DV stream, not sound-card audio.",n/a - RF is keyed by the MMDVM modem via MMDVMHost.,n/a.,MMDVMHost plus an MMDVM modem; YSF/FCS reflectors.,DG-ID-based reflector selection for Yaesu System Fusion.,confirmed,"DGIdGateway (G4KLX, GitHub)",https://github.com/g4klx/DGIdGateway,"Verified (G4KLX). Config maps System Fusion DG-IDs to YSF/FCS reflectors and runs alongside MMDVMHost; it processes the C4FM DV stream, and RF is keyed by the MMDVM modem via MMDVMHost. No radio CAT."
DMRGateway,Digital voice / Hotspot,"None - routes the hotspot's DMR frames between networks, not transceiver CAT",n/a - config file with rewrite rules routes DMR frames between multiple networks (BrandMeister/DMR+/TGIF) by talkgroup; sits between MMDVMHost and the networks.,n/a.,n/a - RF is handled by the MMDVM modem via MMDVMHost.,n/a.,MMDVMHost plus an MMDVM modem; the DMR networks.,Multi-network DMR router for hotspots.,confirmed,DMRGateway (G4KLX) - Rewrite Rules wiki,https://github.com/g4klx/DMRGateway/wiki/Rewrite-Rules,Verified (G4KLX). Config with rewrite rules (e.g. TGRewrite) routes DMR frames between multiple networks (BrandMeister/DMR+/TGIF) by talkgroup; sits between MMDVMHost and the networks. No radio CAT; RF handled by the MMDVM modem via MMDVMHost.
DMRHub,Digital voice / Hotspot,"None - self-hosted DMR master/network, no radio CAT","n/a - server configuration; acts as a DMR master routing hotspot/repeater traffic (self-hosted, BrandMeister-like).",n/a.,n/a.,n/a.,MMDVM hotspots/repeaters connecting in.,Open-source self-hosted DMR master/network server.,confirmed,"DMRHub (USA-RedDragon, GitHub)",https://github.com/USA-RedDragon/DMRHub,Verified. Self-hosted DMR master/network (USA-RedDragon/DMRHub); server configuration acts as a DMR master routing hotspot/repeater traffic. No radio CAT/audio/PTT.
DMRlink,Digital voice / Hotspot,"none - DMR IPSC network router; links repeaters over IP, not RF.","n/a - no CAT. Configure dmrlink.cfg (self-documented INI): IPSC master/peer stanzas (IP, port, network auth, RADIO_ID). Python service.","n/a - passes DMR frames only, no audio.",n/a,n/a,none - needs IPSC-speaking repeaters/peers (or HBlink bridge); no radio,N0MJS Python IPSC bridge/router; server-only. Radio interaction is entirely over the IPSC network protocol.,confirmed,DMRlink (N0MJS) GitHub,https://github.com/n0mjs710/DMRlink,Confirmed against N0MJS DMRlink source; config is INI-format and self-documented.
DroidStar,Digital voice / Hotspot,none (software AMBE/IMBE/Codec2 vocoder client over UDP); optional MMDVM modem in 'MMDVM Direct' stand-alone mode.,"n/a - no rig CAT. In the app Settings pick Mode (DMR/D-STAR/YSF/FCS/NXDN/P25/M17/AllStar), Host/Reflector, module, callsign and DMR-ID. For MMDVM Direct select the modem's serial/USB port.","Phone/PC mic + speaker, or an AMBE USB dongle (ThumbDV/DVstick 30/DVSI) for hardware vocoding.",On-screen TX (PTT) button.,"n/a (digital-voice over UDP, or modem-set level in MMDVM Direct).",a DV reflector/network; optional AMBE dongle or MMDVM modem + HT for actual RF,AD8DP. Talks DV over the internet; no traditional transceiver CAT.,corrected,DroidStar (nostar) GitHub,https://github.com/nostar/DroidStar,"Corrected: MMDVM Direct (stand-alone transceiver via the MMDVM modem) is supported for M17 AND DMR, not M17 only. Otherwise confirmed against DroidStar README (nostar/AD8B)."
DStarGateway,Digital voice / Hotspot,none - D-STAR gateway service (a wxWidgets-free port of ircddbGateway by F4FXL).,"n/a - no CAT. Edit the .cfg (example.cfg/dstargateway.cfg): gateway/repeater callsign, ircDDB, DPlus/DExtra/DCS/G2 link settings, hosts files. Talks to an RF node over the network, not a rig.",n/a,n/a,n/a,a D-STAR RF node (DStarRepeater/MMDVMHost/DVAP) to feed it,F4FXL modern replacement for ircDDBGateway; network gateway only.,confirmed,DStarGateway (F4FXL) GitHub,https://github.com/F4FXL/DStarGateway,Confirmed against F4FXL/DStarGateway README; feature-parity with G4KLX ircddbGateway.
