Manufacturer,Model,Type,Bands,Connection Method,CAT Protocol,Baud,Data Bits,Stop Bits,Parity,Flow Control,CI-V Address,Built-in Sound Card,Recommended Interface,PTT Method,Radio Menu Settings,Cable/Port,Notes,Verified,Source,Source URL,Source Note
BTECH,GMRS-50PRO,GMRS mobile/base,UHF GMRS 462/467 MHz,No CAT. Program via BTECH software/cable (PRO models add a Bluetooth companion app); GMRS channels are fixed. Data modes not permitted on GMRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - USB programming cable / Bluetooth app only,Radio PTT / VOX,Program CTCSS/DCS and repeater tones via software/app; GMRS channels fixed,USB programming cable (mic-jack) + Bluetooth app on PRO,GMRS (Part 95) mobile/base. PC/app link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-50V2,GMRS mobile,UHF GMRS 462/467 MHz,No CAT. Program the GMRS channels/tones with BTECH software (or CHIRP) over a USB programming cable. Data modes not permitted on GMRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - USB programming cable only,Radio PTT / VOX,Program CTCSS/DCS and repeater tones via software; GMRS channels fixed,"USB programming cable (mic-jack, Kenwood-style)",GMRS (Part 95) mobile. PC link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-50X1,GMRS mobile,UHF GMRS 462/467 MHz,No CAT. Program the GMRS channels/tones with BTECH software or CHIRP over a USB programming cable. Data modes not permitted on GMRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - USB programming cable only,Radio PTT / VOX,Program CTCSS/DCS and repeater tones via software (CHIRP supported); GMRS channels fixed,"USB programming cable (mic-jack, Kenwood-style)",GMRS (Part 95) mobile. PC link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-PRO,GMRS handheld,UHF GMRS 462/467 MHz,No CAT. Program over Bluetooth with the BTECH app (or USB-C); GPS/APRS onboard. GMRS channels are fixed and data modes are not permitted.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - Bluetooth app / USB-C programming only,Radio PTT / VOX,Pair with BTECH app over Bluetooth to edit channels/tones; GMRS channels fixed,Bluetooth + USB-C,GMRS (Part 95) handheld with GPS/Bluetooth app. App/USB link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-V1,GMRS handheld,UHF GMRS 462/467 MHz,No CAT. Program the fixed GMRS channels/tones with CHIRP or BTECH software over a Kenwood-2-pin USB programming cable. Data modes not permitted on GMRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - Kenwood-2-pin USB programming cable only,Radio PTT / VOX,Program CTCSS/DCS and tones via software; GMRS channels fixed,Kenwood 2-pin (K1) USB programming jack,GMRS (Part 95) handheld. PC link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,GMRS-V2,GMRS handheld,UHF GMRS 462/467 MHz,No CAT. Program the GMRS channels/tones with CHIRP or BTECH software over a Kenwood-2-pin USB programming cable. Data modes not permitted on GMRS.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,None - Kenwood-2-pin USB programming cable only,Radio PTT / VOX,Program CTCSS/DCS and tones via software; GMRS channels fixed,Kenwood 2-pin (K1) USB programming jack,GMRS (Part 95) handheld. PC link is for programming only.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-2501,VHF or UHF mobile,Single-band 2m or 70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,Single-band (2m or 70cm) FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-2501+220,VHF/1.25m mobile,2m + 1.25m,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,2m + 1.25m FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-25X2,VHF/UHF mobile,2m/70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,2m/70cm FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-25X4,VHF/UHF/1.25m mobile,2m/1.25m/70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,2m/1.25m/70cm FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-5001,VHF or UHF mobile,Single-band 2m or 70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,Single-band (2m or 70cm) FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-50PRO,VHF/UHF mobile,2m/70cm,No CAT. Program channels with BTECH software/CHIRP over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via software; no CAT menu,RJ45 modular mic jack + USB programming cable,2m/70cm FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-50X2,VHF/UHF mobile,2m/70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,2m/70cm FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-50X3,VHF/UHF/1.25m mobile,2m/1.25m/70cm,No CAT. Program channels with CHIRP (or BTECH software) over a USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the RJ45/mic-jack cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic/PTT line,Program channels/CTCSS via CHIRP; no CAT menu,RJ45 modular mic jack + USB programming cable,2m/1.25m/70cm FM mobile. PC link is for programming; digital via sound-card at mic jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-5X3,VHF/UHF/1.25m handheld,2m/1.25m/70cm,No CAT. Program channels with CHIRP (or BTECH software) over a Kenwood-2-pin USB programming cable; set frequency manually. For AFSK/APRS use a Digirig at the mic/speaker jack.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile with the Kenwood-2-pin cable (audio); SignaLink alt.,VOX or Digirig RTS keying via the mic line,Program channels/CTCSS via CHIRP; no CAT menu,Kenwood 2-pin (K1) mic/speaker jack + USB programming cable,Tri-band (UV-5R-family) FM handheld. PC link is for programming; digital via sound-card at the K1 jack.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
BTECH,UV-PRO,VHF/UHF handheld,2m/70cm (+ wideband RX),"No traditional CAT. Program over Bluetooth with the BTECH UV Programmer app (iOS/Android); for data, use the built-in Bluetooth KISS TNC with APRSdroid/RadioMail/Winlink. USB-C is charging/audio.",none,n/a,n/a,n/a,n/a,n/a,n/a,"No (uses Bluetooth KISS TNC / BT audio, not a PC USB codec)","None - Bluetooth app for programming, Bluetooth KISS TNC for APRS/Winlink data",Radio PTT / VOX; data keyed by the internal TNC,Pair with the BTECH app; enable Digital/APRS and KISS TNC (firmware 7.11+); set APRS path,Bluetooth (app + KISS TNC) + USB-C charging,Modern app-driven handheld with GPS/APRS/Bluetooth. No wired CAT; data goes over Bluetooth KISS TNC to phone apps.,n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Central Electronics,100V,HF transmitter,80-10 m,No CAT/USB. Set band/frequency manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or manual/foot-switch),None - no menu; set band/frequency with front-panel controls (external VFO),Microphone connector (no USB/data port),"1950s tube SSB transmitter/exciter, no computer control. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Central Electronics,10A,HF transmitter/exciter,80-10 m,No CAT/USB. Set frequency manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or manual/foot-switch),None - no menu; set frequency with front-panel controls (external VFO),Microphone connector (no USB/data port),"1950s tube SSB exciter, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Central Electronics,10B,HF transmitter/exciter,80-10 m,No CAT/USB. Set frequency manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or manual/foot-switch),None - no menu; set frequency with front-panel controls (external VFO),Microphone connector (no USB/data port),"1950s tube SSB exciter, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Central Electronics,200V,HF transmitter,80-10 m,No CAT/USB. Set band/frequency manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or manual/foot-switch),None - no menu; set band/frequency with front-panel controls (external VFO),Microphone connector (no USB/data port),"1950s tube SSB transmitter, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Central Electronics,20A,HF transmitter/exciter,80-10 m,No CAT/USB. Set frequency manually; feed keyed audio from a PC sound-card interface into the mic input for digital.,none,n/a,n/a,n/a,n/a,n/a,n/a,No,Digirig Mobile into the mic jack (audio only); SignaLink alt.,VOX or interface RTS/PTT (or manual/foot-switch),None - no menu; set frequency with front-panel controls (external VFO),Microphone connector (no USB/data port),"1950s tube SSB exciter, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Chinese generic,Pixie / S-Pixie,HF transceiver kit (QRP CW),40m (7 MHz),"No CAT. Crystal-controlled fixed frequency (~7.023 MHz); key with a straight key or a PC CW keying interface (RTS/DTR). CW only, no audio codec path needed.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,"CW keying interface (e.g., Digirig RTS/DTR keying); no audio interface needed","Straight key/keyer, or RTS/DTR CW keying from the PC",None - crystal-controlled; change frequency by swapping the crystal,Key jack / crystal socket (no USB/data port),"Tiny 40m QRP CW transceiver kit, crystal-controlled, no CAT and no SSB audio path. For computer CW, key via an interface RTS/DTR line.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Chinese generic (Forty-9er clone),Frog Sounds,HF transceiver kit (QRP CW),40m,"No CAT. Crystal-controlled fixed frequency (~7.023 MHz); key with a straight key or a PC CW keying interface (RTS/DTR). CW only, no audio codec path needed.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,"CW keying interface (e.g., Digirig RTS/DTR keying); no audio interface needed","Straight key/keyer, or RTS/DTR CW keying from the PC",None - crystal-controlled; change frequency by swapping the crystal,Key jack / crystal socket (no USB/data port),"40m Forty-9er QRP CW transceiver kit, crystal-controlled, no CAT. For computer CW, key via an interface RTS/DTR line.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
Chinese generic (Si4732),ATS-20 / ATS-20+,Communications receiver (SDR-ish),LW/MW/SW/FM (150 kHz-30 MHz + 64-108),"Receive-only, no CAT. Tune manually on the radio; route the phones/line audio to a PC sound-card input to decode digital modes.",none,n/a,n/a,n/a,n/a,n/a,n/a,No,"Audio cable to PC line-in (sound-card interface, RX decode only)",n/a (receive only),None - tune with the encoder; USB-C is charging/firmware only,3.5mm phones out; USB-C charge/firmware only,"Si4732 DSP receiver, RX only, no CAT. Frequency set manually.",n/a (no CAT),No CAT — audio-only digital via sound-card interface/VOX; frequency set manually (general amateur practice),,
